ConfigID;Seleccion;Crossover;Mutacion;Supervivencia;PopSize;MaxGen;Run;BestFitness;TimeMS
Tournament_Size_1+OrderCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;3;0,34;7
Tournament_Size_1+OrderCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;4;0,44;4
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;1;0,99;25
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;2;1,06;8
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;3;0,98;11
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;4;1,14;9
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;1;0,48;4
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;2;0,56;3
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;3;0,53;8
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;4;0,56;12
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;1;1,02;8
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;2;0,98;14
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;3;0,97;9
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;4;1,35;14
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;1;0,27;6
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;2;0,34;8
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;3;0,48;12
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;4;0,46;7
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;1;1,22;11
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;2;0,97;12
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;3;1,47;10
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;4;1,15;12
